職種,年収_min,年収_max,年収_mean
データアーキテクト,600,1300,950.0
データアーキテクト,600,1000,800.0
データアーキテクト,600,1000,800.0
データアーキテクト,500,900,700.0
データアーキテクト,550,700,625.0
データアーキテクト,500,800,650.0
データアーキテクト,700,1240,970.0
データアーキテクト,500,749,624.5
データアーキテクト,600,1100,850.0
データアーキテクト,400,800,600.0
データアーキテクト,400,800,600.0
データアーキテクト,600,1200,900.0
データアーキテクト,600,1400,1000.0
データアーキテクト,600,1100,850.0
データアーキテクト,500,1000,750.0
データアーキテクト,550,700,625.0
データアーキテクト,400,700,550.0
データアーキテクト,600,850,725.0
データアーキテクト,500,820,660.0
データアーキテクト,600,1300,950.0
データアーキテクト,600,800,700.0
データアーキテクト,500,800,650.0
データアーキテクト,600,900,750.0
データアーキテクト,400,800,600.0
データアーキテクト,600,900,750.0
データアーキテクト,800,800,800.0
データアーキテクト,600,800,700.0
データアーキテクト,400,800,600.0
データアーキテクト,400,1500,950.0
データアーキテクト,900,1100,1000.0
データアーキテクト,900,1100,1000.0
データアーキテクト,600,900,750.0
データアーキテクト,400,700,550.0
データアーキテクト,490,770,630.0
